"t_ms","private_mb","working_mb"
"146982","110.6","124.4"
"147191","110.6","124.4"
"147413","110.9","124.6"
"147631","110.9","124.6"
"147848","110.8","124.6"
"148068","110.8","124.6"
"148277","112.5","126.2"
"148497","112.5","126.2"
"148716","112.5","126.2"
"148923","112.5","126.2"
"149135","112.5","126.3"
"149346","112.5","126.3"
"149561","112.5","126.3"
"149779","112.5","126.3"
"149998","112.8","126.5"
"150218","112.8","126.5"
"150438","112.8","126.5"
"150655","112.8","126.5"
"150874","112.8","126.5"
"151091","114.6","128.3"
"151313","114.6","128.3"
"151531","114.6","128.3"
"151743","114.6","128.2"
"151944","114.6","128.3"
"152165","114.6","128.3"
"152372","114.6","128.3"
"152590","114.6","128.3"
"152808","114.6","128.3"
"153014","114.8","128.5"
"153234","114.9","128.5"
"153447","114.9","128.5"
"153665","114.8","128.5"
"153882","116.5","130.2"
"154102","116.5","130.2"
"154316","116.5","130.2"
"154529","116.5","130.2"
"154736","116.5","130.2"
"154954","116.5","130.1"
"155174","116.5","130.2"
"155393","116.5","130.2"
"155605","116.8","130.3"
"155823","116.8","130.3"
"156040","116.8","130.3"
"156249","116.8","130.3"
"156469","116.8","130.3"
"156681","118.5","132"
"156892","118.5","132"
"157111","118.5","132"
"157333","118.5","132.1"
"157551","118.5","132.1"
"157773","118.5","132.1"
"157987","118.5","132.1"
"158206","118.6","132.2"
"158425","118.9","132.4"
"158645","119","132.6"
"158853","119","132.6"
"159074","119","132.6"
"159291","120.7","134.2"
"159498","120.7","134.2"
"159717","120.7","134.2"
"159935","120.7","134.2"
"160145","120.7","134.2"
"160364","120.7","134.2"
"160584","120.7","134.2"
"160802","120.7","134.2"
"161010","121","134.3"
"161228","121","134.4"
"161439","121","134.4"
"161652","121","134.4"
"161869","121","134.4"
"162088","122.7","136.2"
"162312","122.7","136.2"
"162532","122.7","136.2"
"162751","122.7","136.2"
"162982","122.7","136.1"
"163202","122.7","136.1"
"163422","122.7","136.1"
"163644","122.7","136.1"
"163862","122.9","136.2"
"164085","123","136.2"
"164308","123","136.2"
"164525","123","136.2"
"164746","124.6","138"
"164966","124.6","138"
"165181","124.6","138"
"165399","124.6","138"
"165611","124.6","138"
"165830","124.6","138"
"166053","124.6","138"
"166272","124.6","138"
"166480","124.6","138"
"166690","124.8","138.1"
"166905","124.9","138.1"
"167120","124.9","138.1"
"167329","124.9","138.1"
"167545","126.5","139.9"
"167764","126.5","139.9"
"167974","126.5","139.9"
"168192","126.5","139.9"
"168411","126.5","139.9"
"168622","126.5","139.9"
"168830","126.5","139.9"
"169049","126.5","139.9"
"169269","126.5","139.9"
"169478","126.8","140"
"169691","126.8","140"
"169909","126.8","140"
"170117","126.8","140"
"170338","128.5","141.8"
